,application_id,appName,executor_Id,storage_memory,completedTasks_executors,totalDuration_executors(ms)
247,application_1545136550687_5879,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,6,19811696640,702,7272432
248,application_1545136550687_5879,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,3,19811696640,986,8037091
249,application_1545136550687_5878,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,2,19811696640,7,109193
250,application_1545136550687_5878,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,driver,11758632960,0,0
251,application_1545136550687_5878,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,5,19811696640,7,100494
252,application_1545136550687_5878,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,1,19844431872,7,100569
253,application_1545136550687_5878,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,4,19811696640,6,2190
254,application_1545136550687_5878,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,6,19811696640,7,100973
255,application_1545136550687_5878,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,3,19811696640,7,99113
256,application_1545136550687_5876,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,2,19811696640,992,8094315
257,application_1545136550687_5876,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,driver,11758632960,0,0
258,application_1545136550687_5876,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,5,19811696640,864,8041695
259,application_1545136550687_5876,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,1,19811696640,618,7437863
260,application_1545136550687_5876,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,4,19811696640,995,7931683
261,application_1545136550687_5876,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,6,19811696640,627,7369766
262,application_1545136550687_5876,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,3,19844431872,445,6833086
263,application_1545136550687_5875,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,2,19844431872,7,118341
264,application_1545136550687_5875,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,driver,11758632960,0,0
265,application_1545136550687_5875,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,5,19811696640,7,98600
266,application_1545136550687_5875,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,1,19811696640,7,118327
267,application_1545136550687_5875,MeasureSparkJob$ - historical - measure_config_utilization_disney_2019,4,19811696640,6,1881
